SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1,1,INE399L01023,1
AEGISLOG,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10,1,INE029A01011,10
CASTROLIND,Castrol India Limited,EQ,14-MAR-2014,5,1,INE172A01027,5
GAIL,GAIL (India) Limited,EQ,02-APR-1997,10,1,INE129A01019,10
GUJGASLTD,Gujarat Gas Limited,EQ,15-SEP-2015,2,1,INE844O01030,2
GSPL,Gujarat State Petronet Limited,EQ,16-FEB-2006,10,1,INE246F01010,10
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,17-JUN-1998,10,1,INE094A01015,10
IOC,Indian Oil Corporation Limited,EQ,24-JUL-1996,10,1,INE242A01010,10
IGL,Indraprastha Gas Limited,EQ,26-DEC-2003,2,1,INE203G01027,2
MGL,Mahanagar Gas Limited,EQ,01-JUL-2016,10,1,INE002S01010,10
ONGC,Oil & Natural Gas Corporation Limited,EQ,19-JUL-1995,5,1,INE213A01029,5
OIL,Oil India Limited,EQ,30-SEP-2009,10,1,INE274J01014,10
PETRONET,Petronet LNG Limited,EQ,26-MAR-2004,10,1,INE347G01014,10
RELIANCE,Reliance Industries Limited,EQ,29-NOV-1995,10,1,INE002A01018,10
