SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1,1,INE119A01028,1
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1,1,INE216A01030,1
COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1,1,INE259A01022,1
DABUR,Dabur India Limited,EQ,28-APR-1999,1,1,INE016A01026,1
GODREJCP,Godrej Consumer Products Limited,EQ,20-JUN-2001,1,1,INE102D01028,1
HINDUNILVR,Hindustan Unilever Limited,EQ,06-JUL-1995,1,1,INE030A01027,1
ITC,ITC Limited,EQ,23-AUG-1995,1,1,INE154A01025,1
MARICO,Marico Limited,EQ,01-MAY-1996,1,1,INE196A01026,1
NESTLEIND,Nestle India Limited,EQ,01-AUG-2023,1,1,INE239A01024,1
PGHH,Procter & Gamble Hygiene and Health Care Limited,EQ,07-JUL-2004,10,1,INE179A01014,10
RADICO,Radico Khaitan Limited,EQ,18-JUN-2003,2,1,INE944F01028,2
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,18-NOV-1998,1,1,INE192A01025,1
UBL,United Breweries Limited,EQ,28-JUL-2008,1,1,INE686F01025,1
MCDOWELL-N,United Spirits Limited,EQ,27-SEP-2001,2,1,INE854D01024,2
VBL,Varun Beverages Limited,EQ,08-NOV-2016,5,1,INE200M01021,5
