SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
AWL,Adani Wilmar Limited,EQ,08-FEB-2022,1,1,INE699H01024,1
AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,1,1,INE871C01038,1
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,1,INE00E101023,1
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2,1,INE050A01025,2
CCL,CCL Products (India) Limited,EQ,07-JUN-2004,2,1,INE421D01022,2
DOMS,DOMS Industries Limited,EQ,20-DEC-2023,10,1,INE321T01012,10
EMAMILTD,Emami Limited,EQ,03-AUG-2006,1,1,INE548C01032,1
GILLETTE,Gillette India Limited,EQ,30-JUL-2003,10,1,INE322A01010,10
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-JUL-1996,2,1,INE260B01028,2
GAEL,Gujarat Ambuja Exports Limited,EQ,11-OCT-2000,1,1,INE036B01030,1
HONASA,Honasa Consumer Limited,EQ,07-NOV-2023,10,1,INE0J5401028,10
JYOTHYLAB,Jyothy Labs Limited,EQ,19-DEC-2007,1,1,INE668F01031,1
KRBL,KRBL Limited,EQ,21-JAN-2002,1,1,INE001B01026,1
PATANJALI,Patanjali Foods Limited,EQ,24-JAN-2020,2,1,INE619A01035,2
RENUKA,Shree Renuka Sugars Limited,EQ,31-OCT-2005,1,1,INE087H01022,1
TRIVENI,Triveni Engineering & Industries Limited,EQ,13-DEC-2005,1,1,INE256C01024,1
