SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,INDUSTRY
ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2,Capital Goods
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10,Construction Materials
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2,Capital Goods
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10,Financial Services
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5,Chemicals
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10,Healthcare
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10,Power
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1,Metals & Mining
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10,Power
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2,Services
ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1,1,INE399L01023,1,Oil Gas & Consumable Fuels
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10,Financial Services
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10,Consumer Services
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2,Healthcare
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2,Construction Materials
ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10,Financial Services
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5,Healthcare
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1,Automobile and Auto Components
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1,Capital Goods
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1,Consumer Durables
ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,INE006I01046,1,Capital Goods
ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10,Chemicals
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1,Healthcare
DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10,1,INE192R01011,10,Consumer Services
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2,Financial Services
BSOFT,BIRLASOFT LIMITED,EQ,24-NOV-1999,2,1,INE836A01035,2,Information Technology
BSE,BSE Limited,EQ,03-FEB-2017,2,1,INE118H01025,2,Financial Services
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10,1,INE917I01010,10,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,2,1,INE296A01024,2,Financial Services
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1,Financial Services
BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,2,1,INE787D01026,2,Automobile and Auto Components
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10,1,INE545U01014,10,Financial Services
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,INE028A01039,2,Financial Services
BANKINDIA,Bank of India,EQ,30-APR-1997,10,1,INE084A01016,10,Financial Services
BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5,1,INE176A01028,5,Consumer Durables
BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,1,1,INE463A01038,1,Consumer Durables
BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,INE263A01024,1,Capital Goods
BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,2,1,INE465A01025,2,Automobile and Auto Components
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2,1,INE257A01026,2,Capital Goods
BPCL,Bharat Petroleum Corporation Limited,EQ,13-SEP-1995,10,1,INE029A01011,10,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5,1,INE397D01024,5,Telecommunication
BIOCON,Biocon Limited,EQ,07-APR-2004,5,1,INE376G01013,5,Healthcare
BOSCHLTD,Bosch Limited,EQ,12-MAY-2003,10,1,INE323A01026,10,Automobile and Auto Components
BRITANNIA,Britannia Industries Limited,EQ,05-NOV-1998,1,1,INE216A01030,1,Fast Moving Consumer Goods
CESC,CESC Limited,EQ,08-FEB-1995,1,1,INE486A01021,1,Power
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-MAR-1995,2,1,INE067A01029,2,Capital Goods
CANFINHOME,Can Fin Homes Limited,EQ,10-MAY-1995,2,1,INE477A01020,2,Financial Services
CANBK,Canara Bank,EQ,23-DEC-2002,10,1,INE476A01014,10,Financial Services
CDSL,Central Depository Services (India) Limited,EQ,30-JUN-2017,10,1,INE736A01011,10,Financial Services
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-JUN-1995,10,1,INE085A01013,10,Chemicals
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-MAY-1996,2,1,INE121A01024,2,Financial Services
CIPLA,Cipla Limited,EQ,08-FEB-1995,2,1,INE059A01026,2,Healthcare
CUB,City Union Bank Limited,EQ,25-AUG-1998,1,1,INE491A01021,1,Financial Services
COALINDIA,Coal India Limited,EQ,04-NOV-2010,10,1,INE522F01014,10,Oil Gas & Consumable Fuels
COFORGE,Coforge Limited,EQ,30-AUG-2004,10,1,INE591G01017,10,Information Technology
COLPAL,Colgate Palmolive (India) Limited,EQ,17-DEC-2007,1,1,INE259A01022,1,Fast Moving Consumer Goods
CAMS,Computer Age Management Services Limited,EQ,07-MAY-2021,10,1,INE596I01012,10,Financial Services
CONCOR,Container Corporation of India Limited,EQ,07-MAY-1997,5,1,INE111A01025,5,Services
COROMANDEL,Coromandel International Limited,EQ,31-MAY-1995,1,1,INE169A01031,1,Chemicals
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-MAY-2016,2,1,INE299U01018,2,Consumer Durables
CUMMINSIND,Cummins India Limited,EQ,29-MAR-1995,2,1,INE298A01020,2,Capital Goods
CYIENT,Cyient Limited,EQ,30-SEP-1998,5,1,INE136B01020,5,Information Technology
DLF,DLF Limited,EQ,05-JUL-2007,2,1,INE271C01023,2,Realty
DABUR,Dabur India Limited,EQ,28-APR-1999,1,1,INE016A01026,1,Fast Moving Consumer Goods
DALBHARAT,Dalmia Bharat Limited,EQ,22-JAN-2019,2,1,INE00R701025,2,Construction Materials
